location_name,age_name,cause_name,metric_name,val,upper,lower
Indiana,15-19 years,Chlamydial infection,Number,464.9919537,796.8671861,249.2450335
Indiana,15-19 years,Chlamydial infection,Percent,0.002176283,0.003735233,0.001168925
Indiana,15-19 years,Chlamydial infection,Rate,193.638261,331.84225,103.794
Indiana,20-24 years,Chlamydial infection,Number,1451.841694,2357.916771,860.4854246
Indiana,20-24 years,Chlamydial infection,Percent,0.006760197,0.011005582,0.004039704
Indiana,20-24 years,Chlamydial infection,Rate,625.30683,1015.5525,370.61025
Indiana,25-29 years,Chlamydial infection,Number,2305.594536,3806.995141,1281.062022
Indiana,25-29 years,Chlamydial infection,Percent,0.010535111,0.017259631,0.005833526
Indiana,25-29 years,Chlamydial infection,Rate,998.42303,1648.595,554.75575
Indiana,30-34 years,Chlamydial infection,Number,2329.305007,3744.224588,1304.86896
Indiana,30-34 years,Chlamydial infection,Percent,0.011414119,0.018309339,0.006437899
Indiana,30-34 years,Chlamydial infection,Rate,1097.92553,1764.8525,615.05425
Indiana,35-39 years,Chlamydial infection,Number,2415.054184,3808.377785,1326.777284
Indiana,35-39 years,Chlamydial infection,Percent,0.011711324,0.018558768,0.006424679
Indiana,35-39 years,Chlamydial infection,Rate,1140.68759,1798.7875,626.6685
Indiana,40-44 years,Chlamydial infection,Number,2453.15501,3955.297988,1353.348582
Indiana,40-44 years,Chlamydial infection,Percent,0.012569794,0.020236217,0.00694239
Indiana,40-44 years,Chlamydial infection,Rate,1232.83925,1987.745,680.12875
Indiana,45-49 years,Chlamydial infection,Number,2155.250995,3512.303386,1206.218764
Indiana,45-49 years,Chlamydial infection,Percent,0.010507458,0.017117283,0.00589721
Indiana,45-49 years,Chlamydial infection,Rate,1035.66758,1687.775,579.627
Indiana,50-54 years,Chlamydial infection,Number,1113.676905,1856.401153,596.6881994
Indiana,50-54 years,Chlamydial infection,Percent,0.005406503,0.009004308,0.00290705
Indiana,50-54 years,Chlamydial infection,Rate,535.94078,893.366,287.1475
Indiana,40-44 years,Trichomoniasis,Number,2710.213373,4752.010725,1382.949965
Indiana,40-44 years,Trichomoniasis,Percent,0.013887484,0.024369855,0.00708756
Indiana,40-44 years,Trichomoniasis,Rate,1362.02458,2388.135,695.005
Indiana,45-49 years,Trichomoniasis,Number,2596.747868,4636.588,1340.816914
Indiana,45-49 years,Trichomoniasis,Percent,0.012660536,0.022636607,0.006563423
Indiana,45-49 years,Trichomoniasis,Rate,1247.82106,2228.03,644.30575
Indiana,50-54 years,Trichomoniasis,Number,2017.586938,3420.508778,1082.404727
Indiana,50-54 years,Trichomoniasis,Percent,0.009794856,0.01661528,0.005251439
Indiana,50-54 years,Trichomoniasis,Rate,970.93431,1646.07,520.8915
Indiana,55+ years,Trichomoniasis,Number,3467.718626,4808.177058,2442.244171
Indiana,55+ years,Trichomoniasis,Percent,0.003844217,0.005331252,0.002707902
Indiana,55+ years,Trichomoniasis,Rate,383.751773,532.0923265,270.2686209
Illinois,50-54 years,Syphilis,Number,1687.801205,2847.630735,949.6263832
Illinois,50-54 years,Syphilis,Percent,0.00414248,0.006983269,0.002329453
Illinois,50-54 years,Syphilis,Rate,409.8083107,691.421915,230.5750125
Idaho,15-19 years,HIV/AIDS - Drug-susceptible Tuberculosis,Number,0.004206094,0.005194047,0.003392027
Idaho,15-19 years,HIV/AIDS - Drug-susceptible Tuberculosis,Percent,7.17E-08,8.83E-08,5.75E-08
Idaho,15-19 years,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,0.00637326,0.00787025,0.00513975
Idaho,20-24 years,HIV/AIDS - Drug-susceptible Tuberculosis,Number,0.0258349,0.031928264,0.020809855
Idaho,20-24 years,HIV/AIDS - Drug-susceptible Tuberculosis,Percent,4.71E-07,5.80E-07,3.78E-07
Idaho,20-24 years,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,0.0434516,0.0537,0.035
Idaho,25-29 years,HIV/AIDS - Drug-susceptible Tuberculosis,Number,0.096990812,0.11956454,0.078001629
Idaho,25-29 years,HIV/AIDS - Drug-susceptible Tuberculosis,Percent,1.80E-06,2.22E-06,1.45E-06
Idaho,25-29 years,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,0.1703521,0.21,0.137
Idaho,30-34 years,HIV/AIDS - Drug-susceptible Tuberculosis,Number,0.159539498,0.196924139,0.128830585
Idaho,30-34 years,HIV/AIDS - Drug-susceptible Tuberculosis,Percent,2.96E-06,3.63E-06,2.39E-06
Idaho,30-34 years,HIV/AIDS - Drug-susceptible Tuberculosis,Rate,0.283555,0.35,0.228975
